unnamed:_0.1,unnamed:_0,fat,saturated_fats,monounsaturated_fats,polyunsaturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,water,vitamin_a,vitamin_b1,vitamin_b11,vitamin_b12,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,zinc,nutrition_density,data_group,food_name,calories
512,512,88.3,31.5,41.5,9.4,1.4,0.0,65.0,0.0,251.9,3.7,211.2,0.0,1.7,0.032,0.007,1.1,8.9,2.9,0.8,12.0,0.0,0.0,0.0,26.3,0.3,3.3,48.9,0.098,586.6,729.4,0.1,9.2,196.3,group3,pork blade roll roasted,1079
513,513,98.5,34.2,46.4,10.8,0.0,0.0,46.8,0.0,354.8,0.093,128.4,0.0,0.2,0.002,0.061,0.2,3.1,1.2,0.7,0.0,0.0,0.0,0.0,38.5,0.2,2.2,19.3,0.087,129.3,431.8,0.087,4.5,186.0,group3,pork tail cooked,1089
514,514,9.7,3.3,4.0,1.1,0.0,0.0,44.0,0.0,113.1,0.1,146.2,0.0,1.0,0.0,0.094,0.4,13.5,1.5,1.5,0.0,0.072,0.3,0.0,48.5,0.1,1.2,50.5,0.053,436.3,725.2,0.05,4.0,103.4,group3,pork centre rib roasts raw,275
515,515,114.9,42.6,48.4,19.4,0.0,0.0,211.3,0.0,610.7,0.7,452.3,0.8,0.041,4.1,0.0,0.018,2.3,74.3,11.6,3.8,0.0,0.094,1.6,0.0,148.8,0.7,7.5,164.4,0.063,1800.9,2129.8,0.3,331.5,group3,pork centre rib roasts roasted,1942
516,516,4.3,1.5,2.0,0.5,0.4,0.0,3.4,0.0,14.7,0.3,12.0,0.0,0.1,0.094,0.059,0.073,0.9,0.094,0.081,0.0,0.058,0.012,0.0,2.1,0.029,0.2,3.4,0.074,33.0,65.3,0.048,0.4,10.4,group3,minced ham,55
517,517,21.3,7.1,9.9,2.5,0.6,0.0,28.7,0.0,86.8,1.3,85.3,0.0,1.1,0.033,0.054,0.4,7.4,1.0,0.4,19.6,0.0,0.0,0.0,11.2,0.2,1.9,23.8,0.084,340.2,499.8,0.053,3.5,83.3,group3,ham roasted,316
518,518,14.7,5.1,6.6,1.6,0.0,0.0,23.1,0.0,73.7,0.003,78.3,0.049,1.1,0.013,0.019,0.3,5.4,0.8,0.6,0.7,0.044,0.2,0.0,21.1,0.037,0.9,24.6,0.066,230.5,416.5,0.013,2.0,60.563,group3,pork loin raw,232
519,519,188.9,68.5,81.6,31.0,0.0,0.0,202.0,0.0,737.5,0.8,481.3,1.7,0.023,4.0,0.0,0.08,2.9,67.0,11.1,3.6,0.0,0.068,2.2,0.0,403.9,0.9,8.1,149.3,0.065,1448.7,2107.2,0.3,397.1,group3,pork backribs roasted,2564
520,520,240.5,87.7,112.0,25.6,0.0,0.0,42.4,0.0,326.6,0.1,166.7,0.095,1.8,0.088,0.075,1.1,21.1,1.2,0.6,1.4,0.0,1.8,0.0,22.7,0.2,2.4,18.1,0.01,489.9,839.2,0.085,4.6,309.486,group3,pork belly raw,2350
521,521,18.2,6.0,8.7,2.1,0.046,0.0,23.8,0.0,54.6,1.5,93.2,0.0,1.3,0.021,0.034,0.3,4.5,0.6,0.7,0.0,0.054,0.3,0.0,8.4,0.075,1.2,19.6,0.063,245.0,442.4,0.065,2.3,51.697,group3,ham raw,266
522,522,2.3,0.8,1.1,0.3,0.6,0.0,5.1,0.0,14.8,0.4,18.7,0.0,0.2,0.022,0.097,0.028,1.4,0.1,0.1,0.0,0.094,0.04,0.0,2.0,0.075,0.3,5.0,0.049,66.1,83.2,0.041,0.6,10.3,group3,ham extra lean,45
523,523,45.5,13.4,25.8,3.6,0.029,0.0,52.8,0.0,376.5,4.3,340.2,0.098,0.031,0.061,0.003,0.085,1.0,1.2,0.058,0.0,0.01,1.0,0.0,145.2,0.2,1.4,49.9,0.049,394.6,59.0,0.003,0.9,245.019,group3,pork feet pickled,635
524,524,28.9,10.6,12.8,2.8,0.0,0.0,31.4,0.0,121.5,0.001,74.0,0.004,0.8,0.065,0.007,0.4,5.4,0.8,0.4,0.7,0.007,0.3,0.0,32.4,0.2,1.8,24.3,0.084,286.2,444.2,0.026,5.0,95.226,group3,pork shoulder cooked,394
525,525,74.8,24.1,29.8,8.5,0.0,0.0,224.3,0.0,678.4,0.4,540.7,0.7,0.011,4.6,0.0,0.051,2.0,60.2,5.7,5.9,0.0,0.017,0.9,0.0,59.4,0.7,5.4,212.0,0.052,1891.0,2959.5,0.3,306.4,group3,pork top loin roasts roasted,1628
526,526,8.9,3.2,4.2,1.0,0.0,0.0,17.3,0.0,26.9,0.5,0.5,0.037,0.009,0.0,0.036,0.034,0.4,0.1,0.096,0.1,0.0,0.1,0.0,8.5,0.033,0.2,3.1,0.066,24.1,35.9,0.062,0.2,35.03,group3,pork skin,154
