unnamed:_0.1,unnamed:_0,fat,saturated_fats,monounsaturated_fats,polyunsaturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,water,vitamin_a,vitamin_b1,vitamin_b11,vitamin_b12,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,zinc,nutrition_density,data_group,food_name,calories
608,608,0.3,0.041,0.012,0.1,35.1,0.0,4.6,5.3,0.0,0.056,10.8,0.0,0.0,0.0,0.087,0.0,0.085,1.6,1.4,0.3,0.1,0.0,0.0,0.0,151.2,0.2,2.8,67.5,0.6,101.5,854.3,0.058,45.8,group5,kanpyo dried,139
609,609,0.086,0.0,0.0,0.0,4.2,0.7,0.2,1.0,0.0,0.012,9.5,0.0,0.009,0.0,0.0,0.041,0.088,0.0,0.026,0.3,0.0,0.0,0.0,14.4,0.045,0.1,6.9,0.008,2.8,15.1,0.0,0.035,20.299,group5,prairie turnips boiled,18
610,610,0.4,0.086,0.017,0.1,2.7,0.5,3.3,2.4,0.0,0.077,77.7,0.0,0.0,0.1,0.004,0.0,0.1,1.7,0.4,0.2,31.5,0.0,2.2,0.2,100.3,0.06,1.1,23.0,0.3,69.7,291.6,0.069,9.289,group5,broccoli raab cooked,21
611,611,1.0,0.2,0.031,0.3,9.9,6.4,2.7,2.9,0.0,0.036,245.1,0.0,0.1,0.1,0.095,0.0,0.023,1.3,0.4,0.2,30.2,0.0,0.3,0.028,57.2,0.3,1.0,41.6,0.6,75.4,460.2,0.032,17.09,group5,summer squash cooked,49
612,612,0.1,0.012,0.064,0.056,45.7,0.6,0.7,6.7,0.0,0.055,84.2,0.0,0.0,0.1,0.042,0.0,0.002,0.7,0.4,0.4,6.6,0.0,3.9,0.073,23.8,0.3,1.0,39.6,0.6,100.3,638.9,0.005,53.993,group5,taro cooked,187
613,613,0.077,0.029,0.055,0.031,1.5,0.5,0.4,0.5,0.0,0.048,18.0,0.0,0.0,0.025,0.06,0.0,0.043,0.1,0.097,0.055,3.8,0.0,0.1,0.006,14.4,0.057,0.3,4.0,0.09,7.4,55.2,0.056,2.554,group5,spring onion scallions,6
614,614,0.7,0.1,0.042,0.3,12.3,5.6,2.8,5.5,0.0,0.5,173.1,0.0,0.0,0.084,0.001,0.0,0.064,0.6,0.6,0.2,12.4,0.0,0.2,0.029,19.0,0.095,0.5,24.7,0.2,26.6,406.6,0.053,21.554,group5,hubbard squash cooked,57
615,615,0.002,0.06,0.018,0.095,0.9,0.6,0.1,0.4,0.0,0.028,12.8,0.0,0.0,0.066,0.048,0.0,0.023,0.2,0.074,0.079,16.6,0.0,0.5,0.011,1.7,0.045,0.033,2.1,0.059,3.6,34.7,0.069,1.593,group5,jalapeno pepper,4
616,616,0.3,0.027,0.028,0.1,3.8,0.5,2.3,2.5,0.0,0.6,170.6,0.0,0.022,0.038,0.0,0.2,0.7,0.5,0.4,28.8,0.0,2.2,0.5,86.4,0.1,1.2,57.6,0.9,39.6,183.6,0.055,0.6,125.3,group5,new zealand spinach cooked,22
617,617,0.095,0.0,0.0,0.0,0.2,0.0,0.012,0.0,0.0,0.007,2.7,0.0,0.066,0.07,0.0,0.098,0.027,0.0,0.0,2.2,0.0,0.0,0.0,0.6,0.0,0.091,0.4,0.0,0.9,5.5,0.037,0.0,3.181,group5,sesbania flower raw,1
618,618,0.5,0.2,0.019,0.1,1.7,0.2,4.0,0.3,0.0,0.031,0.3,0.0,0.2,0.014,0.0,0.3,0.9,0.2,0.037,0.7,0.0,0.4,0.08,8.4,0.4,2.0,13.7,0.1,8.3,95.4,0.03,0.1,17.6,group5,spirulina dried,20
619,619,0.2,0.011,0.059,0.086,2.9,0.0,1.8,2.0,0.0,0.3,113.3,0.0,0.021,0.044,0.0,0.008,0.6,0.042,0.2,18.8,0.0,0.0,0.0,38.1,0.022,0.4,11.9,0.2,46.4,267.8,0.075,0.2,64.2,group5,chinese cabbage pe tsai cooked,17
